                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.2107,                0.76208,                 1.3835,                0.89216,                0.77302,                0.88626,                0.55573,                 1.5845,                0.83158,                 1.6504,               0.002476,               0.002476,               0.002476
                     79,                 1.1879,                0.68398,                 1.3422,                0.86004,                0.79523,                0.88172,                0.55978,                  1.576,                0.80351,                  1.647,               0.002377,               0.002377,               0.002377
                     80,                 1.1869,                0.68755,                 1.3419,                0.86456,                0.78926,                0.88467,                 0.5685,                 1.5438,                0.79382,                 1.6244,               0.002278,               0.002278,               0.002278
                     81,                 1.1466,                0.67398,                 1.3415,                0.85486,                0.80119,                0.88704,                 0.5691,                 1.5321,                0.81501,                 1.6083,               0.002179,               0.002179,               0.002179
                     82,                 1.2168,                0.68306,                 1.3379,                0.85344,                0.78728,                0.88256,                0.55861,                 1.5829,                0.81203,                 1.6513,                0.00208,                0.00208,                0.00208
                     83,                 1.1952,                0.68574,                 1.3229,                 0.8878,                0.77932,                0.88266,                0.56592,                 1.5477,                0.82325,                 1.6265,               0.001981,               0.001981,               0.001981
                     84,                 1.1924,                0.68812,                 1.3336,                0.90098,                0.75547,                0.88535,                0.56806,                 1.5515,                0.81768,                 1.6298,               0.001882,               0.001882,               0.001882
                     85,                  1.153,                0.69111,                 1.3355,                0.82648,                0.81438,                0.88175,                0.56731,                 1.5334,                0.80903,                 1.6311,               0.001783,               0.001783,               0.001783
                     86,                 1.1528,                0.67105,                 1.3186,                0.85927,                 0.7992,                 0.8801,                0.56233,                  1.575,                0.80477,                 1.6615,               0.001684,               0.001684,               0.001684
                     87,                 1.1697,                0.70191,                 1.3135,                0.88803,                0.75348,                0.87858,                0.56253,                 1.5637,                 0.8141,                 1.6487,               0.001585,               0.001585,               0.001585
                     88,                 1.1427,                0.67741,                 1.3152,                0.86615,                0.77932,                0.87628,                0.56403,                 1.5538,                0.81662,                 1.6276,               0.001486,               0.001486,               0.001486
                     89,                 1.1045,                0.64805,                 1.2942,                0.90021,                0.76143,                0.87682,                0.56608,                 1.5349,                0.82877,                 1.6144,               0.001387,               0.001387,               0.001387
                     90,                 1.1735,                 0.6713,                 1.3191,                 0.8977,                0.76143,                0.88424,                0.57147,                 1.5366,                0.81598,                 1.6106,               0.001288,               0.001288,               0.001288
                     91,                 1.0245,                0.60302,                 1.2437,                0.91559,                0.76143,                0.88099,                0.56902,                 1.5484,                0.82645,                 1.6255,               0.001189,               0.001189,               0.001189
                     92,                 1.0342,                0.56289,                  1.227,                0.91183,                0.76342,                 0.8836,                0.57124,                  1.541,                0.81555,                 1.6356,                0.00109,                0.00109,                0.00109
                     93,                 0.9797,                0.56668,                 1.2173,                0.88435,                0.77533,                0.88094,                0.57005,                 1.5368,                 0.7999,                 1.6317,               0.000991,               0.000991,               0.000991
                     94,                 0.9782,                0.55648,                 1.1867,                0.89613,                 0.7674,                0.88354,                0.57119,                 1.5344,                0.79434,                 1.6448,               0.000892,               0.000892,               0.000892
                     95,                0.98388,                0.54589,                 1.2033,                0.87769,                0.77734,                 0.8811,                0.57498,                 1.5243,                 0.7894,                 1.6371,               0.000793,               0.000793,               0.000793
                     96,                 0.9956,                0.55922,                  1.215,                0.85489,                0.79523,                0.88793,                0.57057,                 1.5333,                0.79324,                 1.6424,               0.000694,               0.000694,               0.000694
                     97,                 1.0069,                0.64348,                 1.2482,                0.89544,                 0.7674,                0.88333,                0.56951,                  1.541,                0.80298,                  1.647,               0.000595,               0.000595,               0.000595
                     98,                0.96046,                0.55202,                 1.2251,                0.87693,                 0.7791,                0.88328,                 0.5706,                 1.5458,                0.79726,                 1.6459,               0.000496,               0.000496,               0.000496
                     99,                0.97144,                0.57127,                 1.2256,                0.87688,                0.78529,                0.88676,                 0.5743,                 1.5296,                 0.7922,                 1.6369,               0.000397,               0.000397,               0.000397
                    100,                0.94038,                0.53432,                 1.1805,                0.87653,                0.77624,                0.88128,                0.57622,                 1.5284,                0.79424,                 1.6286,               0.000298,               0.000298,               0.000298
