                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                  1.156,                0.82767,                  1.347,                 0.8476,                0.79324,                0.86851,                0.51001,                 1.4301,                0.92069,                 1.5458,               0.003763,               0.003763,               0.003763
                     66,                  1.145,                0.81769,                 1.3513,                0.82356,                0.80119,                0.86935,                 0.5313,                 1.3814,                0.90406,                 1.5034,               0.003664,               0.003664,               0.003664
                     67,                 1.1424,                0.82619,                 1.3563,                0.84471,                0.78943,                0.86795,                0.53988,                 1.3536,                0.88802,                 1.4905,               0.003565,               0.003565,               0.003565
                     68,                 1.1303,                0.81125,                 1.3451,                0.85828,                0.78926,                 0.8742,                0.52731,                  1.417,                 0.9133,                 1.5162,               0.003466,               0.003466,               0.003466
                     69,                 1.1289,                0.80185,                 1.3385,                0.86388,                 0.7833,                0.87439,                0.54234,                 1.3566,                0.87038,                   1.47,               0.003367,               0.003367,               0.003367
                     70,                 1.1089,                 0.8001,                 1.3236,                0.86395,                0.78131,                0.86936,                0.53845,                 1.3568,                0.86009,                 1.4861,               0.003268,               0.003268,               0.003268
                     71,                 1.1047,                0.78953,                 1.3154,                0.86336,                0.78926,                0.87324,                0.52907,                 1.3527,                0.87256,                 1.4953,               0.003169,               0.003169,               0.003169
                     72,                  1.107,                0.78711,                 1.3216,                0.86922,                0.78728,                 0.8688,                0.53893,                 1.3641,                0.87943,                 1.4964,                0.00307,                0.00307,                0.00307
                     73,                 1.0864,                0.76758,                 1.3003,                0.87058,                0.78903,                  0.871,                0.54254,                 1.3692,                 0.8619,                 1.4798,               0.002971,               0.002971,               0.002971
                     74,                 1.1044,                0.78684,                  1.323,                0.85239,                0.79125,                0.88025,                0.54004,                 1.3461,                0.87438,                 1.4553,               0.002872,               0.002872,               0.002872
                     75,                 1.0992,                0.78693,                 1.3087,                 0.8621,                0.79324,                0.87999,                0.53488,                 1.3589,                0.86445,                 1.4882,               0.002773,               0.002773,               0.002773
                     76,                 1.0874,                0.77829,                 1.3085,                0.84206,                0.81909,                0.88275,                0.53452,                 1.3642,                0.86451,                 1.4849,               0.002674,               0.002674,               0.002674
                     77,                 1.0958,                0.77638,                 1.3014,                0.85235,                0.80337,                0.88414,                0.54245,                 1.3641,                 0.8588,                 1.4861,               0.002575,               0.002575,               0.002575
                     78,                 1.0713,                 0.7591,                 1.2823,                 0.8386,                0.80572,                0.87067,                0.52669,                 1.3864,                0.87631,                 1.4994,               0.002476,               0.002476,               0.002476
                     79,                 1.0706,                0.75589,                 1.2887,                 0.8541,                0.80306,                0.88383,                0.53704,                 1.3657,                 0.8609,                 1.5029,               0.002377,               0.002377,               0.002377
                     80,                 1.0731,                0.76893,                 1.2937,                 0.8469,                0.79125,                0.87395,                0.54004,                 1.3515,                0.85823,                 1.4821,               0.002278,               0.002278,               0.002278
