                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.5627,                 1.4223,                 1.8121,                0.71492,                0.58832,                 0.6685,                0.34844,                 1.7032,                 1.3841,                   1.96,               0.002476,               0.002476,               0.002476
                     79,                 1.5221,                 1.3771,                 1.7938,                 0.7654,                0.54274,                0.65834,                0.33959,                 1.7004,                  1.379,                 1.9646,               0.002377,               0.002377,               0.002377
                     80,                  1.525,                 1.3739,                 1.7717,                0.75856,                0.57853,                0.67093,                0.35854,                 1.6486,                 1.3474,                 1.9147,               0.002278,               0.002278,               0.002278
                     81,                 1.4986,                 1.3274,                  1.753,                0.75973,                0.61829,                0.69395,                0.37081,                 1.6747,                 1.3099,                 1.9081,               0.002179,               0.002179,               0.002179
                     82,                 1.5108,                 1.3456,                 1.7625,                0.75517,                0.59046,                0.68481,                0.36993,                 1.6393,                 1.3723,                  1.884,                0.00208,                0.00208,                0.00208
                     83,                 1.5149,                 1.3521,                 1.7548,                0.73588,                0.59642,                0.67213,                0.34797,                 1.6789,                 1.3836,                  1.924,               0.001981,               0.001981,               0.001981
                     84,                 1.4797,                 1.3476,                 1.7426,                0.70577,                0.59443,                0.66966,                0.36085,                 1.6492,                  1.381,                 1.9054,               0.001882,               0.001882,               0.001882
                     85,                 1.5123,                 1.3491,                 1.7493,                0.70739,                0.58635,                0.67252,                0.36281,                 1.6435,                 1.3718,                 1.8894,               0.001783,               0.001783,               0.001783
                     86,                 1.4901,                 1.3322,                 1.7479,                0.75242,                0.56859,                0.67625,                0.36219,                 1.6297,                 1.3543,                 1.8902,               0.001684,               0.001684,               0.001684
                     87,                 1.4574,                  1.309,                 1.7312,                0.75202,                0.63817,                0.69659,                0.38536,                  1.601,                 1.3071,                 1.8477,               0.001585,               0.001585,               0.001585
                     88,                 1.4585,                 1.2996,                  1.741,                0.75013,                 0.6501,                0.71041,                0.38558,                 1.6035,                 1.2684,                 1.8611,               0.001486,               0.001486,               0.001486
                     89,                 1.4789,                 1.3079,                 1.7271,                0.70763,                0.60239,                0.68928,                0.35984,                 1.6527,                 1.3075,                 1.9013,               0.001387,               0.001387,               0.001387
                     90,                 1.4656,                  1.312,                 1.7191,                0.75273,                0.60522,                0.70617,                0.39015,                 1.5843,                 1.2798,                 1.8443,               0.001288,               0.001288,               0.001288
                     91,                 1.4363,                 1.3465,                 1.7145,                0.79827,                0.57455,                0.67522,                 0.3607,                 1.7189,                 1.5488,                 1.9176,               0.001189,               0.001189,               0.001189
                     92,                 1.3942,                 1.2307,                 1.6752,                0.76706,                0.59443,                0.69162,                0.38221,                  1.652,                 1.3483,                  1.863,                0.00109,                0.00109,                0.00109
                     93,                 1.3792,                 1.1903,                 1.6655,                0.77999,                0.59207,                0.69238,                0.37808,                 1.6618,                 1.3859,                 1.8688,               0.000991,               0.000991,               0.000991
                     94,                 1.3684,                 1.1874,                 1.6485,                0.75998,                0.62319,                0.70453,                0.39036,                 1.6306,                 1.3229,                 1.8387,               0.000892,               0.000892,               0.000892
                     95,                 1.3669,                 1.1832,                 1.6508,                0.78801,                0.63618,                0.70799,                0.39932,                 1.6157,                 1.2677,                 1.8351,               0.000793,               0.000793,               0.000793
                     96,                 1.3579,                 1.1527,                 1.6414,                0.77098,                0.62227,                0.69595,                0.39522,                  1.593,                 1.2797,                 1.8295,               0.000694,               0.000694,               0.000694
                     97,                 1.3438,                 1.1603,                 1.6305,                0.79494,                0.60239,                0.69891,                  0.395,                 1.5849,                 1.3066,                  1.822,               0.000595,               0.000595,               0.000595
                     98,                 1.3454,                 1.1226,                 1.6252,                0.78429,                0.60835,                0.70214,                0.39358,                  1.609,                 1.2763,                 1.8516,               0.000496,               0.000496,               0.000496
                     99,                 1.3357,                 1.1329,                 1.6274,                0.79047,                0.60636,                0.70492,                0.39649,                 1.6019,                 1.2702,                 1.8416,               0.000397,               0.000397,               0.000397
                    100,                 1.3303,                 1.1222,                 1.6023,                0.74828,                0.61463,                0.69209,                0.38488,                 1.6142,                  1.281,                 1.8575,               0.000298,               0.000298,               0.000298
